Worker #8 | 10146/28708 | 2026/03/12/04/20260312_041507_liveData_batch3.parquet | 20.62s | 22.0 MB | SKIPPED (already in target schema)
Worker #1 | 10147/28708 | 2026/03/12/04/20260312_041511_liveData_batch5.parquet | 18.07s | 22.1 MB | SKIPPED (already in target schema)
Worker #7 | 10148/28708 | 2026/03/12/04/20260312_043011_liveData_batch2.parquet | 9.40s | 22.1 MB | SKIPPED (already in target schema)
Worker #2 | 10149/28708 | 2026/03/12/04/20260312_041518_liveData_batch9.parquet | 11.63s | 22.0 MB | SKIPPED (already in target schema)
Worker #5 | 10150/28708 | 2026/03/12/04/20260312_041516_liveData_batch8.parquet | 18.82s | 22.0 MB | SKIPPED (already in target schema)
Worker #5 | 10151/28708 | 2026/03/12/04/20260312_043029_liveData_batch10.parquet | 0.34s | 257.6 KB | SKIPPED (already in target schema)
Worker #6 | 10152/28708 | 2026/03/12/04/20260312_043015_liveData_batch4.parquet | 13.21s | 22.0 MB | SKIPPED (already in target schema)
Worker #2 | 10153/28708 | 2026/03/12/04/20260312_043027_liveData_batch8.parquet | 8.07s | 22.1 MB | SKIPPED (already in target schema)
Worker #7 | 10154/28708 | 2026/03/12/04/20260312_043020_liveData_batch7.parquet | 10.35s | 22.1 MB | SKIPPED (already in target schema)
Worker #3 | 10155/28708 | 2026/03/12/04/20260312_043013_liveData_batch3.parquet | 21.31s | 22.0 MB | SKIPPED (already in target schema)
Worker #4 | 10156/28708 | 2026/03/12/04/20260312_043004_liveData_batch1.parquet | 22.45s | 22.2 MB | SKIPPED (already in target schema)
Worker #1 | 10157/28708 | 2026/03/12/04/20260312_043018_liveData_batch6.parquet | 17.25s | 22.1 MB | SKIPPED (already in target schema)
Worker #8 | 10158/28708 | 2026/03/12/04/20260312_043016_liveData_batch5.parquet | 19.65s | 22.1 MB | SKIPPED (already in target schema)
Worker #5 | 10159/28708 | 2026/03/12/04/20260312_043029_liveData_batch9.parquet | 14.26s | 22.1 MB | SKIPPED (already in target schema)
Worker #2 | 10160/28708 | 2026/03/12/04/20260312_044507_liveData_batch2.parquet | 12.52s | 22.1 MB | SKIPPED (already in target schema)
Worker #2 | 10161/28708 | 2026/03/12/04/20260312_044520_liveData_batch10.parquet | 0.17s | 151.4 KB | SKIPPED (already in target schema)
Worker #1 | 10162/28708 | 2026/03/12/04/20260312_044514_liveData_batch6.parquet | 9.88s | 22.1 MB | SKIPPED (already in target schema)
Worker #6 | 10163/28708 | 2026/03/12/04/20260312_044505_liveData_batch1.parquet | 18.66s | 22.1 MB | SKIPPED (already in target schema)
Worker #4 | 10164/28708 | 2026/03/12/04/20260312_044512_liveData_batch5.parquet | 13.58s | 22.0 MB | SKIPPED (already in target schema)
Worker #7 | 10165/28708 | 2026/03/12/04/20260312_044509_liveData_batch3.parquet | 15.58s | 22.0 MB | SKIPPED (already in target schema)
Worker #1 | 10166/28708 | 2026/03/12/05/20260312_050006_liveData_batch1.parquet | 7.41s | 22.2 MB | SKIPPED (already in target schema)
Worker #5 | 10167/28708 | 2026/03/12/04/20260312_044518_liveData_batch8.parquet | 13.56s | 22.1 MB | SKIPPED (already in target schema)
Worker #3 | 10168/28708 | 2026/03/12/04/20260312_044510_liveData_batch4.parquet | 20.45s | 22.1 MB | SKIPPED (already in target schema)
Worker #8 | 10169/28708 | 2026/03/12/04/20260312_044516_liveData_batch7.parquet | 20.63s | 22.1 MB | SKIPPED (already in target schema)
Worker #2 | 10170/28708 | 2026/03/12/04/20260312_044520_liveData_batch9.parquet | 16.44s | 22.1 MB | SKIPPED (already in target schema)
Worker #2 | 10171/28708 | 2026/03/12/05/20260312_050021_liveData_batch10.parquet | 0.23s | 161.5 KB | SKIPPED (already in target schema)
Worker #7 | 10172/28708 | 2026/03/12/05/20260312_050012_liveData_batch4.parquet | 12.44s | 22.1 MB | SKIPPED (already in target schema)
Worker #1 | 10173/28708 | 2026/03/12/05/20260312_050014_liveData_batch5.parquet | 8.92s | 22.1 MB | SKIPPED (already in target schema)
Worker #6 | 10174/28708 | 2026/03/12/05/20260312_050008_liveData_batch2.parquet | 17.75s | 22.1 MB | SKIPPED (already in target schema)
Worker #4 | 10175/28708 | 2026/03/12/05/20260312_050010_liveData_batch3.parquet | 18.55s | 22.1 MB | SKIPPED (already in target schema)
Worker #5 | 10176/28708 | 2026/03/12/05/20260312_050016_liveData_batch6.parquet | 15.09s | 22.1 MB | SKIPPED (already in target schema)
Worker #3 | 10177/28708 | 2026/03/12/05/20260312_050018_liveData_batch7.parquet | 16.09s | 22.1 MB | SKIPPED (already in target schema)
Worker #2 | 10178/28708 | 2026/03/12/05/20260312_050021_liveData_batch9.parquet | 14.18s | 22.1 MB | SKIPPED (already in target schema)
Worker #8 | 10179/28708 | 2026/03/12/05/20260312_050019_liveData_batch8.parquet | 16.09s | 22.1 MB | SKIPPED (already in target schema)
Worker #6 | 10180/28708 | 2026/03/12/05/20260312_051511_liveData_batch3.parquet | 10.37s | 22.1 MB | SKIPPED (already in target schema)
Worker #1 | 10181/28708 | 2026/03/12/05/20260312_051509_liveData_batch2.parquet | 13.97s | 22.2 MB | SKIPPED (already in target schema)
Worker #1 | 10182/28708 | 2026/03/12/05/20260312_051523_liveData_batch10.parquet | 0.27s | 253.1 KB | SKIPPED (already in target schema)
Worker #7 | 10183/28708 | 2026/03/12/05/20260312_051507_liveData_batch1.parquet | 18.06s | 22.2 MB | SKIPPED (already in target schema)
Worker #3 | 10184/28708 | 2026/03/12/05/20260312_051517_liveData_batch6.parquet | 14.57s | 22.2 MB | SKIPPED (already in target schema)
Worker #4 | 10185/28708 | 2026/03/12/05/20260312_051513_liveData_batch4.parquet | 19.07s | 22.1 MB | SKIPPED (already in target schema)
Worker #6 | 10186/28708 | 2026/03/12/05/20260312_051522_liveData_batch9.parquet | 10.37s | 22.1 MB | SKIPPED (already in target schema)
Worker #5 | 10187/28708 | 2026/03/12/05/20260312_051515_liveData_batch5.parquet | 17.56s | 22.2 MB | SKIPPED (already in target schema)
Worker #2 | 10188/28708 | 2026/03/12/05/20260312_051519_liveData_batch7.parquet | 13.77s | 22.1 MB | SKIPPED (already in target schema)
Worker #8 | 10189/28708 | 2026/03/12/05/20260312_051520_liveData_batch8.parquet | 14.63s | 22.1 MB | SKIPPED (already in target schema)
Worker #7 | 10190/28708 | 2026/03/12/05/20260312_053010_liveData_batch2.parquet | 16.05s | 22.9 MB | SKIPPED (already in target schema)
