Connecting to container 'datacloudlivedataiceberg', prefix '2026/04/06'...
Schema loaded: 9 column(s), 956 file(s), 4.5 GB total.
[Checkpoint] Skipping prefix '2026/04/06' — previous run was complete.
All prefixes in batch completed.
Starting — 2 transform(s), 8 worker(s) (Auto-Scale ON), 5 attempt(s)/file...
Listing complete: 956 file(s) found.
Worker #8 | 166/956 | 2026/04/06/04/20260406_040024_liveData_batch10.parquet | 0.33s | 1.9 MB | SKIPPED (already in target schema)
Worker #5 | 167/956 | 2026/04/06/04/20260406_040014_liveData_batch4.parquet | 1.26s | 4.9 MB | SKIPPED (already in target schema)
Worker #6 | 168/956 | 2026/04/06/04/20260406_040021_liveData_batch8.parquet | 0.81s | 4.9 MB | SKIPPED (already in target schema)
Worker #3 | 169/956 | 2026/04/06/04/20260406_040019_liveData_batch7.parquet | 1.67s | 5.0 MB | SKIPPED (already in target schema)
Worker #1 | 170/956 | 2026/04/06/04/20260406_041509_liveData_batch1.parquet | 0.84s | 4.9 MB | SKIPPED (already in target schema)
Worker #7 | 171/956 | 2026/04/06/04/20260406_041511_liveData_batch2.parquet | 0.85s | 4.8 MB | SKIPPED (already in target schema)
Worker #8 | 172/956 | 2026/04/06/04/20260406_041515_liveData_batch4.parquet | 0.85s | 4.8 MB | SKIPPED (already in target schema)
Worker #6 | 173/956 | 2026/04/06/04/20260406_041518_liveData_batch6.parquet | 0.80s | 4.7 MB | SKIPPED (already in target schema)
Worker #5 | 174/956 | 2026/04/06/04/20260406_041516_liveData_batch5.parquet | 1.11s | 4.7 MB | SKIPPED (already in target schema)
Worker #2 | 175/956 | 2026/04/06/04/20260406_040023_liveData_batch9.parquet | 1.65s | 4.9 MB | SKIPPED (already in target schema)
Worker #8 | 176/956 | 2026/04/06/04/20260406_041524_liveData_batch10.parquet | 0.46s | 1.8 MB | SKIPPED (already in target schema)
Worker #1 | 177/956 | 2026/04/06/04/20260406_041521_liveData_batch8.parquet | 0.84s | 4.7 MB | SKIPPED (already in target schema)
Worker #7 | 178/956 | 2026/04/06/04/20260406_041523_liveData_batch9.parquet | 0.94s | 4.8 MB | SKIPPED (already in target schema)
Worker #6 | 179/956 | 2026/04/06/04/20260406_043010_liveData_batch1.parquet | 0.95s | 4.9 MB | SKIPPED (already in target schema)
Worker #4 | 180/956 | 2026/04/06/04/20260406_041513_liveData_batch3.parquet | 2.04s | 4.8 MB | SKIPPED (already in target schema)
Worker #3 | 181/956 | 2026/04/06/04/20260406_041520_liveData_batch7.parquet | 1.72s | 4.7 MB | SKIPPED (already in target schema)
Worker #8 | 182/956 | 2026/04/06/04/20260406_043015_liveData_batch4.parquet | 1.03s | 4.8 MB | SKIPPED (already in target schema)
Worker #5 | 183/956 | 2026/04/06/04/20260406_043012_liveData_batch2.parquet | 1.20s | 4.8 MB | SKIPPED (already in target schema)
Worker #1 | 184/956 | 2026/04/06/04/20260406_043017_liveData_batch5.parquet | 1.02s | 4.8 MB | SKIPPED (already in target schema)
Worker #6 | 185/956 | 2026/04/06/04/20260406_043020_liveData_batch7.parquet | 1.28s | 4.9 MB | SKIPPED (already in target schema)
Worker #3 | 186/956 | 2026/04/06/04/20260406_043024_liveData_batch10.parquet | 1.17s | 1.9 MB | SKIPPED (already in target schema)
Worker #2 | 187/956 | 2026/04/06/04/20260406_043014_liveData_batch3.parquet | 2.34s | 4.8 MB | SKIPPED (already in target schema)
